customerID,gender,PhoneService,InternetService,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6919-ELBGL,Male,Yes,Fiber optic,,Two year,Yes,Bank transfer (automatic),,8196.4,No
3966-HRMZA,Female,Yes,,,Month-to-month,No,Mailed check,,202.9,No
6425-JWTDV,Male,Yes,No,No internet service,Two year,No,Mailed check,19.25,855.1,No
8405-IGQFX,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),90.05,5817,No
8224-IVVPA,Female,Yes,DSL,No,Month-to-month,Yes,Mailed check,56.7,1652.95,No
9477-LGWQI,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),80.15,5600.15,No
1410-RSCMR,,Yes,,,Month-to-month,Yes,Credit card (automatic),,515.75,No
3115-CZMZD,Male,Yes,No,No internet service,Two year,No,Mailed check,20.25, ,No
0139-IVFJG,Female,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,90.35,190.5,No
6683-VLCTZ,Male,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,1842.8,Yes
5730-DBDSI,,Yes,,,Two year,No,Bank transfer (automatic),,1253.8,No
0030-FNXPP,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No
2189-WWOEW,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55,Yes
5684-FJVYR,Female,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic),90.35,6563.4,No
4013-GUXND,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,20.8,20.8,No
1894-IGFSG,Female,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes
7379-POKDZ,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.3,208.85,Yes
1266-NZYUI,,Yes,,,Two year,No,Bank transfer (automatic),,4758.8,No
7969-FFOWG,,Yes,,,Two year,No,Mailed check,,1292.6,No
4718-DHSMV,Female,No,DSL,Yes,Month-to-month,Yes,Mailed check,35.8,363.15,No
5175-WLYXL,Male,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,78.85,1600.25,No
7817-OMJNA,Male,Yes,No,No internet service,One year,No,Bank transfer (automatic),20.4,275.7,No
8728-SKJLR,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,74.25,3089.1,No
3137-NYQQI,Male,Yes,DSL,No,One year,No,Mailed check,64.8,1175.6,No
7706-DZNKK,Male,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,237.3,No
0236-HFWSV,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes
3900-AQPHZ,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.9,19.9,Yes
5842-POCOP,Female,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,88.9,454.15,Yes
2037-XJFUP,Male,Yes,Fiber optic,Yes,One year,Yes,Electronic check,95.8,3036.75,Yes
8823-RLPWL,Female,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),110.65,8065.65,No
9505-SQFSW,Female,No,DSL,No,Month-to-month,No,Mailed check,40.3,92.5,No
7314-OXENN,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,82,184.65,Yes
3758-CKOQL,Female,Yes,Fiber optic,No,One year,Yes,Credit card (automatic),107,6152.3,No
0322-CHQRU,Male,Yes,DSL,No,Month-to-month,No,Electronic check,45.35,89.5,Yes
5676-CFLYY,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),73.35,5154.5,No
7521-AFHAB,Female,Yes,DSL,No,Month-to-month,No,Mailed check,44.8,220.45,No
0285-INHLN,Male,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No
4678-DVQEO,Female,Yes,DSL,No,Month-to-month,Yes,Electronic check,52.2,52.2,Yes
5125-CNDSP,Male,No,DSL,No,One year,Yes,Bank transfer (automatic),40.6,2588.95,No
0691-IFBQW,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,110,4874.8,Yes
4992-LTJNE,Male,Yes,DSL,No,Two year,No,Bank transfer (automatic),55.3,3983.6,No
2202-OUTMO,Female,Yes,DSL,,Month-to-month,Yes,Bank transfer (automatic),,2003.6,No
0810-BDHAW,Female,Yes,DSL,Yes,One year,No,Electronic check,78.4,1832.4,No
0229-LFJAF,,Yes,,,Two year,No,Bank transfer (automatic),,4908.25,No
7131-ZQZNK,Female,No,DSL,Yes,Two year,No,Credit card (automatic),59.85,3590.2,No
3442-ZHHCC,Male,Yes,DSL,No,One year,Yes,Credit card (automatic),76.9,5023,No
5726-CVNYA,Female,Yes,No,No internet service,Two year,Yes,Mailed check,19.85,146.6,No
9871-ELEYA,Female,Yes,DSL,Yes,Two year,No,Credit card (automatic),67.65,2339.3,No
4257-GAESD,Female,No,DSL,,Month-to-month,No,Credit card (automatic),,298.7,No
5173-WXOQV,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,64.2,143.65,No
2040-OBMLJ,Male,Yes,Fiber optic,No,One year,No,Credit card (automatic),81.7,2548.65,No
6286-ZHAOK,Female,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,No
3807-XHCJH,Female,Yes,,,Month-to-month,No,Electronic check,,20,No
3009-JWMPU,Male,Yes,Fiber optic,Yes,One year,Yes,Electronic check,96.75,6125.4,Yes
5671-RQRLP,,Yes,,,Two year,Yes,Credit card (automatic),,5411.4,No
1450-GALXR,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes
8859-AXJZP,Male,Yes,No,No internet service,Two year,Yes,Mailed check,23.8,903.8,No
3174-AKMAS,Female,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),64.2,3009.5,No
3138-BKYAV,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,85.35,489.45,Yes
9926-PJHDQ,Female,Yes,DSL,,Two year,Yes,Bank transfer (automatic),,5468.45,No
7382-DFJTU,Male,Yes,DSL,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,No
2798-NYLMZ,Male,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),108.55,7616,No
4289-DTDKW,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes
1820-TQVEV,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes
2239-JALAW,Male,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,Yes
4853-RULSV,,Yes,,,Two year,Yes,Credit card (automatic),,7250.15,Yes
8098-TDCBU,Female,Yes,,,Two year,No,Electronic check,,1108.2,No
3551-GAEGL,Male,No,DSL,No,One year,No,Bank transfer (automatic),30.4,938.65,No
4785-NKHCX,Male,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,No
3196-NVXLZ,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check,84.6,2088.05,No
6275-YDUVO,Female,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,86.2,178.7,Yes
0036-IHMOT,Female,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No
0115-TFERT,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes
4178-EGMON,Male,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic),88,5986.45,No
4220-TINQT,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,No
5318-YKDPV,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6,No
7975-TZMLR,Male,Yes,Fiber optic,Yes,One year,Yes,Electronic check,103.1,4889.3,No
0295-QVKPB,Male,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic),63.95,318.1,No
4335-BSMJS,Female,Yes,No,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,No
2311-QYMUQ,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,Yes
3643-AHCFP,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,Yes
9146-JRIOX,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,25.55,372.45,No
3104-OWCGK,,Yes,,,One year,No,Electronic check,,5453.4,Yes
5337-IIWKZ,Male,No,DSL,Yes,Month-to-month,Yes,Electronic check,44.85,1442.6,No
9101-BWFSS,Female,Yes,Fiber optic,Yes,One year,No,Electronic check,108.55,5610.7,Yes
9650-VBUOG,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),25.05,963.95,No
3487-EARAT,Female,Yes,DSL,No,One year,No,Credit card (automatic),74.1,5222.3,No
2672-TGEFF,,Yes,,,Month-to-month,Yes,Electronic check,,3340.55,No
9231-ZJYAM,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,78.85,292.8,Yes
4250-WAROZ,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,93.25,5774.55,No
8184-WMOFI,Male,Yes,DSL,No,One year,No,Credit card (automatic),71.4,4487.3,No
6982-SSHFK,Male,Yes,DSL,No,Month-to-month,No,Mailed check,44.4,44.4,Yes
6092-QZVPP,Male,Yes,DSL,,Month-to-month,Yes,Credit card (automatic),,2854.95,No
4625-LAMOB,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),20.4,905.55,No
0727-BMPLR,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,100,5509.3,Yes
0392-BZIUW,Female,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),105,7589.8,No
1038-ZAGBI,,Yes,,,One year,No,Bank transfer (automatic),,229.6,Yes
6549-NNDYT,Female,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,No
3027-ZTDHO,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes
0422-OHQHQ,Female,Yes,No,No internet service,One year,No,Mailed check,20.55,295.95,No
6916-HIJSE,Female,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic),84.85,5459.2,No
2316-ESMLS,Female,No,DSL,,One year,No,Credit card (automatic),,444.75,No
9778-OGKQZ,Male,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),92,6782.15,No
7408-OFWXJ,Female,Yes,DSL,Yes,Two year,No,Credit card (automatic),89.8,6510.45,No
6007-TCTST,Female,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),115.8,8476.5,No
2252-NKNSI,Male,Yes,DSL,Yes,Two year,Yes,Mailed check,85.15,4461.85,No
8713-IGZSO,,Yes,,,Month-to-month,No,Mailed check,,62,No
7905-TVXTA,Female,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,64.35,352.65,No
7695-PKLCZ,Female,Yes,No,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,No
2382-BCKQJ,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,100.15,6413.65,Yes
8374-UULRV,Male,Yes,DSL,Yes,Two year,No,Credit card (automatic),86.05,6309.65,No
2207-NHRJK,Male,Yes,DSL,No,Month-to-month,No,Electronic check,50.8,50.8,Yes
3224-DFQNQ,Female,Yes,Fiber optic,No,One year,No,Electronic check,89,5898.6,No
5275-PMFUT,Male,No,DSL,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,No
4795-UXVCJ,Male,Yes,No,No internet service,One year,No,Credit card (automatic),19.8,457.3,No
9777-IQHWP,Male,Yes,Fiber optic,No,Two year,No,Bank transfer (automatic),93.4,5822.3,No
0947-MUGVO,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,73.65,1463.5,Yes
9944-HKVVB,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes
4124-MMETB,Male,Yes,Fiber optic,,Month-to-month,Yes,Credit card (automatic),,2104.55,Yes
3671-SHRSP,,Yes,,,Month-to-month,Yes,Mailed check,,319.15,Yes
0979-MOZQI,Male,No,DSL,Yes,Two year,Yes,Bank transfer (automatic),39,2337.45,No
2732-ISEZX,Female,Yes,No,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,No
3313-QKNKB,Male,Yes,Fiber optic,No,One year,No,Electronic check,85.55,5084.65,Yes
0323-XWWTN,Male,Yes,No,No internet service,Two year,Yes,Mailed check,26.4,121.25,No
1937-OTUKY,Female,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),98.2,7015.9,No
1573-LGXBA,Male,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),97.55,5598,No
1764-VUUMT,Male,Yes,No,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,No
5073-WXOYN,Female,No,DSL,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,Yes
4713-ZBURT,Male,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,No
3050-GBUSH,Female,No,DSL,Yes,Month-to-month,Yes,Credit card (automatic),34.8,113.95,No
0207-MDKNV,Female,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes
7876-AEHIG,Female,No,DSL,Yes,One year,No,Bank transfer (automatic),60.15,3077,No
7945-HLKEA,Female,Yes,DSL,No,One year,No,Electronic check,64.75,4039.5,No
9342-VNIMQ,Male,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,No
9851-KIELU,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes
3523-BRGUW,Male,Yes,No,No internet service,One year,No,Credit card (automatic),19.3,504.2,No
3908-BLSYF,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,83.9,497.55,Yes
3199-NPKCN,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,111.25,7511.65,No
5170-PTRKA,Female,No,DSL,No,One year,Yes,Credit card (automatic),35.8,1782,No
4661-NJEUX,Male,Yes,No,No internet service,Month-to-month,Yes,Mailed check,20.05,20.05,No
2123-AGEEN,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,84.35,609.65,No
1258-YMZNM,Female,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),110.5,2857.6,No
0048-LUMLS,Male,Yes,Fiber optic,Yes,One year,No,Credit card (automatic),91.2,3247.55,No
7549-MYGPK,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.55,6215.35,Yes
5898-IGSLP,Male,Yes,Fiber optic,No,Month-to-month,No,Electronic check,89.3,2823,No
3804-RVTGV,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Yes
6259-WJQLC,Male,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),81.1,2619.25,No
9227-LUNBG,Female,No,DSL,No,Month-to-month,No,Electronic check,24.6,24.6,Yes
7997-EASSD,Female,Yes,Fiber optic,No,One year,Yes,Credit card (automatic),81.2,4965.1,No
0730-KOAVE,Male,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,No
8975-SKGRX,Male,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),116.1,8310.55,No
0678-RLHVP,Female,Yes,Fiber optic,Yes,Two year,No,Electronic check,105.55,5682.25,No
4315-MURBD,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes
2267-FPIMA,Male,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),94.4,4914.9,No
1051-GEJLJ,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.5,27.55,No
9734-YWGEX,Female,Yes,Fiber optic,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,Yes
2719-BDAQO,Male,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,93.85,1625.65,Yes
5285-MVEHD,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),105.6,6068.65,No
0379-DJQHR,Male,Yes,DSL,,Two year,No,Credit card (automatic),,5398.6,No
0781-LKXBR,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes
5543-QDCRY,Male,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,56.4,234.85,No
0297-RBCSG,Male,Yes,DSL,,One year,Yes,Bank transfer (automatic),,1231.85,No
4694-PHWFW,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.95,170.9,No
0835-JKADZ,Female,Yes,Fiber optic,Yes,Two year,Yes,Electronic check,111.25,7984.15,No
1907-UBQFC,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,72.85,688.65,Yes
7508-SMHXL,Female,Yes,Fiber optic,Yes,Month-to-month,No,Credit card (automatic),89,1288.3,No
3865-YIOTT,Male,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),106.1,7848.5,No
5993-BQHEA,Male,Yes,No,No internet service,One year,No,Credit card (automatic),20.05,267,No
6024-RUGGH,Male,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),25.2,1798.9,No
6513-EECDB,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,73.55,73.55,Yes
3956-CJUST,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.4,1643.55,No
4079-WWQQQ,Male,No,DSL,Yes,Two year,Yes,Bank transfer (automatic),65.55,4807.45,No
6103-BOCOU,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,80.7,2193,No
5149-TGWDZ,Female,Yes,Fiber optic,Yes,One year,Yes,Mailed check,104.55,2239.4,No
7471-WNSUF,Male,Yes,No,No internet service,One year,No,Bank transfer (automatic),24.15,1505.9,No
8942-DBMHZ,Male,Yes,,,Month-to-month,No,Mailed check,,255.35,No
4301-VVZKA,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,75.4,1189.4,No
9199-PWQVC,Female,Yes,DSL,Yes,One year,Yes,Credit card (automatic),79.7,4786.15,No
4824-GUCBY,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,81.7,1820.9,No
5393-HJZSM,Female,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,No
7074-IEVOJ,Female,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,205.05,Yes
9625-QSTYE,Female,Yes,,,Month-to-month,Yes,Electronic check,,952.3,Yes
0862-PRCBS,Female,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45,No
8812-ZRHFP,Female,Yes,Fiber optic,No,One year,No,Electronic check,86.45,2538.05,No
5146-CBVOE,Female,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),75.1,1212.85,No
0454-OKRCT,Male,Yes,Fiber optic,,Two year,No,Bank transfer (automatic),,2651.1,No
5787-KXGIY,,Yes,,,Two year,No,Credit card (automatic),,1304.8,No
4750-ZRXIU,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,84.6,360.1,Yes
4198-VFOEA,Female,No,DSL,No,One year,Yes,Mailed check,33.6,435.45,No
6630-UJZMY,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,83.25,308.05,No
5709-LVOEQ,Female,Yes,DSL,Yes,Two year,No,Mailed check,80.85, ,No
6400-BWQKW,,Yes,,,Month-to-month,Yes,Electronic check,,434.5,Yes
2692-AQCPF,Female,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),108.05,7118.9,No
0347-UBKUZ,Female,Yes,No,No internet service,Month-to-month,No,Mailed check,19.9,320.45,No
0835-DUUIQ,Female,Yes,No,,One year,No,Bank transfer (automatic),,531.55,No
0811-GSDTP,Female,No,DSL,No,Month-to-month,No,Electronic check,30.15,382.2,No
7567-ECMCM,Male,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),79.85,2001,No
6115-ZTBFQ,Female,No,DSL,Yes,Two year,No,Bank transfer (automatic),65.5,4919.7,No
6353-BRMMA,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,No
6680-WKXRZ,Female,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Yes
6231-WFGFH,Male,Yes,No,No internet service,Month-to-month,Yes,Mailed check,20.5,77.6,No
9904-EHEVJ,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check,91.35,2896.55,No
7028-DVOIQ,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,Yes
6169-PPETC,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),20.5,759.35,No
4208-UFFGW,Male,Yes,DSL,No,Month-to-month,No,Mailed check,44.95,85.15,Yes
8584-KMVXD,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,75.6,535.55,No
8467-WYNSR,Male,Yes,DSL,No,Month-to-month,No,Mailed check,55.1,1253.15,No
0851-DFJKB,Female,Yes,DSL,No,Month-to-month,No,Electronic check,58.95,955.15,No
5382-SOYZL,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,No
9448-REEVD,Male,Yes,DSL,No,Month-to-month,No,Credit card (automatic),44.7,44.7,Yes
3261-CQXOL,Female,Yes,No,No internet service,Two year,No,Bank transfer (automatic),25.45,1813.35,No
8388-FYNPZ,,Yes,,,Month-to-month,No,Electronic check,,245.15,No
4002-BQWPQ,Male,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic),81.75,2028.8,No
5651-YLPRD,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,86.1,2723.75,No
2826-DXLQO,,No,,,Month-to-month,No,Bank transfer (automatic),,220.45,No
4378-BZYFP,Male,Yes,No,No internet service,One year,Yes,Mailed check,20.5,365.8,No
9489-UTFKA,Male,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic),60.9,551.95,No
4849-PYRLQ,Female,Yes,DSL,No,Two year,No,Bank transfer (automatic),73.25,4054.2,No
9117-SHLZX,Male,Yes,DSL,,Month-to-month,Yes,Mailed check,,45.7,Yes
9889-TMAHG,Male,Yes,,,Month-to-month,No,Credit card (automatic),,832.35,Yes
4541-RMRLG,Male,Yes,No,No internet service,Month-to-month,No,Electronic check,19.25,112.3,Yes
7764-BDPEE,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,20.85,60.65,No
3429-IFLEM,Female,Yes,DSL,Yes,Two year,No,Credit card (automatic),77.35,5550.1,No
3158-MOERK,Female,Yes,Fiber optic,,Month-to-month,Yes,Electronic check,,174.8,Yes
7294-TMAOP,,Yes,,,Month-to-month,No,Electronic check,,90.55,Yes
5002-GCQFH,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,No
0556-FJEGU,Male,Yes,DSL,Yes,Two year,No,Bank transfer (automatic),70.1,4048.95,No
8919-FYFQZ,Male,No,DSL,No,Month-to-month,Yes,Electronic check,30.35,1359.7,Yes
0604-THJFP,Female,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),75.95,4542.35,No
2834-JRTUA,Male,Yes,Fiber optic,Yes,Two year,Yes,Electronic check,108.05,7532.15,Yes
5875-YPQFJ,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes
5879-SESNB,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,75.25,888.65,No
6646-QVXLR,Male,Yes,Fiber optic,Yes,One year,Yes,Electronic check,103.75,6383.35,Yes
6461-PPAXN,Female,Yes,DSL,No,One year,Yes,Bank transfer (automatic),54.95,1916,No
3318-ISQFQ,Female,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.5,413,No
1106-HRLKZ,Male,Yes,No,No internet service,Two year,No,Mailed check,19.6,808.95,No
2483-XSSMZ,,Yes,,,One year,Yes,Electronic check,,1886.4,No
8603-IJWDN,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,86.6,86.6,Yes
8165-ZJRNM,Female,Yes,No,No internet service,Two year,No,Bank transfer (automatic),23.75,1679.25,No
9369-XFEHK,Female,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,Yes
2604-XVDAM,Female,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic),43.8,540.95,No
3717-OFRTN,Male,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),19.75,19.75,No
9046-JBFWA,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,19.15,537.35,No
3280-NMUVX,Male,Yes,No,No internet service,One year,No,Credit card (automatic),19.6,678.8,No
1206-EHBDD,Female,Yes,Fiber optic,No,Two year,No,Bank transfer (automatic),80.3,4513.65,No
8361-LBRDI,Female,Yes,No,No internet service,Two year,No,Credit card (automatic),24.35,1423.85,No
4883-KCPZJ,Female,Yes,No,No internet service,Two year,No,Credit card (automatic),25.25,555.4,No
9108-EQPNQ,Female,Yes,No,No internet service,Two year,No,Credit card (automatic),26.1,225.55,No
7277-KAMWT,,Yes,,,Two year,No,Credit card (automatic),,268.45,No
3842-IYKUE,Female,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic),85.3,2917.5,Yes
6641-XRPSU,,Yes,,,Month-to-month,Yes,Credit card (automatic),,2416.1,Yes
1374-DMZUI,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,Yes
2545-LXYVJ,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,No
3234-VKACU,Male,Yes,DSL,Yes,Month-to-month,No,Electronic check,70.3,132.4,No
8357-EQXFO,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.35,660.9,Yes
1989-PRJHP,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,75.5,1893.95,Yes
8120-JDCAM,,Yes,,,Month-to-month,Yes,Mailed check,,284.9,No
8917-FAEMR,Female,Yes,No,No internet service,Two year,No,Mailed check,19.85,784.25,No
7047-YXDMZ,Male,Yes,No,No internet service,Month-to-month,No,Mailed check,20,417.7,No
2858-EIMXH,,Yes,,,One year,Yes,Credit card (automatic),,5016.25,No
9524-EGPJC,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,90.1,1612.75,Yes
6993-OHLXR,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,68.95,119.75,Yes
8818-XYFCQ,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,Yes
6419-ZTTLE,Male,Yes,,,One year,Yes,Electronic check,,485.2,No
0929-HYQEW,Male,Yes,DSL,,Month-to-month,Yes,Mailed check,,160.85,No
6614-YOLAC,Female,No,DSL,Yes,Two year,No,Mailed check,58.65,4145.25,No
7426-RHZGU,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,No
4065-JJAVA,Female,Yes,DSL,No,Month-to-month,No,Electronic check,49.5,49.5,No
4695-VADHF,Male,Yes,DSL,No,Month-to-month,No,Electronic check,57.45,990.85,Yes
3863-IUBJR,Male,Yes,DSL,No,One year,No,Credit card (automatic),53.65,696.35,Yes
7649-SIJJF,Male,Yes,DSL,No,Two year,Yes,Mailed check,80.1,5585.4,No
9361-YNQWJ,Female,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),24.4,1601.2,No
3748-FVMZZ,Male,No,DSL,No,Month-to-month,Yes,Electronic check,40.05,162.45,No
9391-TTOYH,Female,Yes,No,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,No
1452-XRSJV,,Yes,,,Month-to-month,No,Credit card (automatic),,2066,No
3422-WJOYD,Male,Yes,DSL,No,One year,No,Mailed check,54.35,1426.45,No
8242-SOQUO,Female,Yes,,,Month-to-month,Yes,Electronic check,,392.5,No
